id,enjoy,effective,interesting,feel_now,seen_old_new,talk_old_new,age,gender,race,video
144,2,2,4,4,2,1,28,1,4,3
145,5,3,6,5,2,2,20,1,6,17
146,1,3,2,4,2,2,23,1,6,28
147,4,3,3,5,2,2,26,1,6,26
148,3,4,5,5,2,1,25,1,6,1
149,4,4,3,5,2,2,19,1,2,16
150,3,2,3,5,2,1,18,1,6,12
151,1,1,2,4,2,2,25,1,3,18
152,2,4,3,4,2,2,27,1,2,24
153,3,5,4,6,2,1,27,1,2,14
154,1,2,1,4,2,1,27,1,6,10
155,3,4,5,5,2,1,19,1,6,6
156,2,4,1,6,2,1,23,2,6,15
157,5,3,5,5,2,2,23,1,6,29
158,3,4,3,3,2,2,27,1,6,27
159,5,3,5,5,2,1,26,1,2,7
160,4,3,5,6,2,2,29,1,6,20
161,2,1,2,3,2,2,26,2,6,22
162,1,3,2,1,2,2,23,1,6,19
163,7,5,6,7,2,1,27,1,2,8
164,4,6,4,5,2,1,22,1,6,5
165,6,6,6,5,2,2,21,1,6,23
166,1,2,1,5,2,1,25,1,6,2
167,6,5,6,5,2,2,25,1,6,25
168,4,3,3,4,2,1,21,1,6,4
169,2,4,5,6,2,1,21,2,2,11
170,6,5,5,4,2,2,25,1,9,30
171,5,4,5,6,2,2,21,1,6,21
172,4,3,6,5,2,2,24,1,6,26
173,4,4,5,5,2,2,26,1,6,29
174,3,2,3,2,2,1,27,1,6,15
175,1,3,2,5,2,1,23,2,6,14
176,4,4,5,5,2,1,19,2,6,8
177,1,1,2,3,2,2,24,2,6,22
178,5,5,6,5,2,2,26,1,6,19
179,5,5,6,5,2,1,23,2,8,9
180,6,5,7,5,2,2,27,2,6,21
181,3,3,5,4,2,1,24,1,6,10
182,4,6,5,7,2,2,24,1,6,25
183,3,4,4,5,2,1,23,1,6,12
184,1,2,1,4,2,1,29,2,2,4
185,4,5,4,6,2,2,27,1,2,18
186,3,3,4,3,2,1,20,2,6,7
187,3,4,2,5,2,1,21,1,6,2
188,3,2,4,4,2,1,29,1,4,1
189,1,1,1,4,2,1,24,1,6,3
190,4,4,4,4,2,1,29,1,2,6
191,4,5,5,4,2,1,26,1,3,5
192,2,1,2,4,2,2,28,2,6,20
193,7,5,7,6,2,2,21,1,6,17
194,5,3,5,4,2,1,29,1,6,13
195,5,5,6,5,2,2,29,1,3,30
196,2,4,3,5,2,2,28,1,6,28
197,5,5,5,5,2,2,19,1,6,27
198,1,1,1,1,2,2,24,2,6,16
199,4,5,3,4,2,1,24,2,6,11
200,4,4,6,4,2,2,24,1,6,23
201,2,3,1,4,2,2,24,1,6,24
202,6,4,6,7,2,2,22,2,6,29
203,4,4,5,5,2,2,26,2,6,24
204,7,7,7,7,2,1,26,2,2,9
205,6,6,5,5,2,2,27,1,6,26
206,3,4,1,4,2,2,27,1,8,25
207,5,4,7,5,2,1,19,2,6,7
208,4,6,5,5,2,2,22,1,6,30
209,5,5,5,5,2,1,24,1,6,8
210,5,6,5,4,2,1,24,1,2,3
211,4,5,4,3,2,2,20,1,6,28
212,3,4,4,6,2,1,23,1,3,11
213,1,3,1,3,2,1,21,1,2,15
214,3,2,3,6,2,2,23,1,6,19
215,1,4,1,5,2,1,21,1,6,14
216,2,3,2,4,2,2,24,1,4,20
217,3,4,5,5,2,2,25,1,6,18
218,4,6,7,3,2,1,27,1,6,12
219,4,3,4,6,2,2,28,2,6,17
220,1,2,1,5,2,1,24,2,6,1
221,5,4,5,6,2,1,19,1,3,5
222,4,6,6,5,2,1,26,1,6,6
223,7,6,3,5,2,1,33,2,6,4
224,3,5,5,4,2,2,20,1,6,23
225,4,3,4,5,2,2,29,2,6,16
226,4,4,5,5,2,2,25,2,6,27
227,4,5,5,6,2,1,29,2,6,13
228,5,4,4,4,2,1,24,2,6,10
229,4,3,3,5,2,2,22,2,6,22
230,3,3,6,5,2,2,20,1,6,21
231,2,2,1,3,2,2,28,1,6,20
232,5,6,5,6,2,1,19,1,6,15
233,3,5,3,5,2,2,19,2,6,16
234,5,5,6,5,2,1,20,1,6,2
235,6,3,6,2,2,2,23,1,6,24
236,2,3,3,3,2,1,29,1,2,13
237,5,5,6,6,2,2,23,1,4,28
238,4,4,5,5,2,1,23,2,6,11
239,3,4,4,3,2,1,21,1,6,5
240,1,2,2,5,2,2,23,2,3,21
241,1,3,1,4,2,2,21,2,3,29
242,3,2,4,5,2,1,23,2,6,12
243,6,6,7,6,2,2,25,1,6,23
244,5,3,6,4,2,1,19,1,6,7
245,5,5,5,7,2,2,28,1,2,17
246,3,3,2,4,2,1,24,2,6,14
247,5,6,6,6,2,1,20,2,4,4
248,3,4,5,3,2,2,19,1,6,18
249,4,4,3,3,2,2,24,2,2,25
250,3,2,3,5,2,1,29,2,6,1
251,3,3,4,4,2,1,25,1,6,8
252,3,3,3,4,2,2,28,1,6,26
253,6,6,6,5,2,2,23,1,4,19
254,1,1,2,1,2,2,22,1,2,30
255,5,6,7,5,2,1,20,1,2,6
256,3,2,2,4,2,2,29,1,6,22
257,3,3,1,4,2,2,20,1,6,27
258,4,4,4,4,2,1,22,1,6,9
259,5,4,4,3,2,1,25,2,6,10
260,5,6,5,7,2,1,25,1,4,10
261,5,4,4,4,2,2,25,2,6,26
262,4,5,4,4,2,1,23,2,6,2
263,3,3,2,4,2,1,22,1,6,12
